p,n,nc,frameLen,overlap,numCodewords,Accuracy_Zero,Accuracy_Twelve,Accuracy_Five,Accuracy_Eleven,Total_Accuracy
50,256,30,256,128,8,0.944444444444444,0.944444444444444,1,0.956521739130435,0.963414634146341
50,256,30,256,128,16,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
50,256,30,256,256,8,NaN,NaN,NaN,NaN,NaN
50,256,30,256,256,16,NaN,NaN,NaN,NaN,NaN
50,256,30,512,128,8,0.888888888888889,0.833333333333333,0.956521739130435,0.91304347826087,0.902439024390244
50,256,30,512,128,16,0.888888888888889,0.833333333333333,0.869565217391304,0.91304347826087,0.878048780487805
50,256,30,512,256,8,0.888888888888889,0.888888888888889,1,0.956521739130435,0.939024390243902
50,256,30,512,256,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
50,256,40,256,128,8,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
50,256,40,256,128,16,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
50,256,40,256,256,8,NaN,NaN,NaN,NaN,NaN
50,256,40,256,256,16,NaN,NaN,NaN,NaN,NaN
50,256,40,512,128,8,0.944444444444444,0.833333333333333,0.91304347826087,0.91304347826087,0.902439024390244
50,256,40,512,128,16,0.888888888888889,0.833333333333333,0.869565217391304,0.91304347826087,0.878048780487805
50,256,40,512,256,8,0.833333333333333,0.888888888888889,0.956521739130435,0.956521739130435,0.914634146341463
50,256,40,512,256,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
50,512,30,256,128,8,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
50,512,30,256,128,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
50,512,30,256,256,8,NaN,NaN,NaN,NaN,NaN
50,512,30,256,256,16,NaN,NaN,NaN,NaN,NaN
50,512,30,512,128,8,0.888888888888889,0.888888888888889,1,0.956521739130435,0.939024390243902
50,512,30,512,128,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
50,512,30,512,256,8,1,0.888888888888889,1,0.956521739130435,0.963414634146341
50,512,30,512,256,16,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
50,512,40,256,128,8,0.944444444444444,0.944444444444444,1,1,0.975609756097561
50,512,40,256,128,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
50,512,40,256,256,8,NaN,NaN,NaN,NaN,NaN
50,512,40,256,256,16,NaN,NaN,NaN,NaN,NaN
50,512,40,512,128,8,0.888888888888889,0.888888888888889,0.91304347826087,0.956521739130435,0.914634146341463
50,512,40,512,128,16,0.944444444444444,0.888888888888889,0.956521739130435,0.956521739130435,0.939024390243902
50,512,40,512,256,8,1,0.888888888888889,0.91304347826087,0.956521739130435,0.939024390243902
50,512,40,512,256,16,0.944444444444444,0.888888888888889,0.91304347826087,0.956521739130435,0.926829268292683
60,256,30,256,128,8,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
60,256,30,256,128,16,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
60,256,30,256,256,8,NaN,NaN,NaN,NaN,NaN
60,256,30,256,256,16,NaN,NaN,NaN,NaN,NaN
60,256,30,512,128,8,0.888888888888889,0.833333333333333,0.91304347826087,0.91304347826087,0.890243902439024
60,256,30,512,128,16,0.888888888888889,0.833333333333333,0.869565217391304,0.869565217391304,0.865853658536585
60,256,30,512,256,8,0.833333333333333,0.833333333333333,0.956521739130435,0.956521739130435,0.902439024390244
60,256,30,512,256,16,0.888888888888889,0.888888888888889,1,0.956521739130435,0.939024390243902
60,256,40,256,128,8,0.944444444444444,0.944444444444444,0.91304347826087,0.956521739130435,0.939024390243902
60,256,40,256,128,16,0.944444444444444,0.888888888888889,0.956521739130435,1,0.951219512195122
60,256,40,256,256,8,NaN,NaN,NaN,NaN,NaN
60,256,40,256,256,16,NaN,NaN,NaN,NaN,NaN
60,256,40,512,128,8,0.888888888888889,0.833333333333333,0.91304347826087,0.91304347826087,0.890243902439024
60,256,40,512,128,16,0.888888888888889,0.833333333333333,0.826086956521739,0.91304347826087,0.865853658536585
60,256,40,512,256,8,0.833333333333333,0.888888888888889,0.956521739130435,0.956521739130435,0.914634146341463
60,256,40,512,256,16,0.888888888888889,0.888888888888889,0.956521739130435,0.956521739130435,0.926829268292683
60,512,30,256,128,8,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
60,512,30,256,128,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
60,512,30,256,256,8,NaN,NaN,NaN,NaN,NaN
60,512,30,256,256,16,NaN,NaN,NaN,NaN,NaN
60,512,30,512,128,8,0.888888888888889,0.888888888888889,0.956521739130435,0.956521739130435,0.926829268292683
60,512,30,512,128,16,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
60,512,30,512,256,8,0.944444444444444,0.888888888888889,1,0.956521739130435,0.951219512195122
60,512,30,512,256,16,0.944444444444444,0.944444444444444,0.956521739130435,0.956521739130435,0.951219512195122
60,512,40,256,128,8,0.944444444444444,0.944444444444444,1,0.956521739130435,0.963414634146341
60,512,40,256,128,16,0.944444444444444,0.888888888888889,0.956521739130435,0.956521739130435,0.939024390243902
60,512,40,256,256,8,NaN,NaN,NaN,NaN,NaN
60,512,40,256,256,16,NaN,NaN,NaN,NaN,NaN
60,512,40,512,128,8,0.944444444444444,0.888888888888889,0.91304347826087,1,0.939024390243902
60,512,40,512,128,16,0.944444444444444,0.888888888888889,0.956521739130435,1,0.951219512195122
60,512,40,512,256,8,0.888888888888889,0.888888888888889,0.91304347826087,1,0.926829268292683
60,512,40,512,256,16,0.944444444444444,0.944444444444444,0.91304347826087,0.956521739130435,0.939024390243902
